id,HoraFecha,h
359,20:13:17 31/3/2022,95
360,20:19:57 31/3/2022,95
361,20:26:35 31/3/2022,95
362,20:33:15 31/3/2022,95
363,20:39:55 31/3/2022,95
364,20:46:34 31/3/2022,95
365,20:53:12 31/3/2022,95
366,20:59:53 31/3/2022,95
367,21:04:50 31/3/2022,95
368,21:11:29 31/3/2022,95
369,21:19:46 31/3/2022,95
370,21:26:24 31/3/2022,95
371,21:33:02 31/3/2022,95
372,21:39:41 31/3/2022,95
373,21:46:25 31/3/2022,95
374,21:53:07 31/3/2022,95
375,21:59:50 31/3/2022,95
376,22:06:31 31/3/2022,95
377,22:13:10 31/3/2022,95
378,22:19:49 31/3/2022,95
379,22:26:29 31/3/2022,95
380,22:33:09 31/3/2022,95
381,22:39:48 31/3/2022,95
382,22:46:32 31/3/2022,95
383,22:53:11 31/3/2022,95
384,22:59:50 31/3/2022,95
385,23:06:30 31/3/2022,95
386,23:13:09 31/3/2022,95
387,23:19:51 31/3/2022,95
388,23:26:30 31/3/2022,95
389,23:33:15 31/3/2022,95
390,23:39:55 31/3/2022,95
391,23:46:35 31/3/2022,95
392,23:53:14 31/3/2022,95
393,23:59:53 31/3/2022,95
394,00:06:40 1/4/2022,95
395,00:13:25 1/4/2022,95
396,00:20:19 1/4/2022,95
397,00:26:59 1/4/2022,95
398,00:33:37 1/4/2022,95
399,00:40:17 1/4/2022,95
400,00:46:57 1/4/2022,95
401,00:53:37 1/4/2022,95
402,01:00:15 1/4/2022,95
403,01:06:56 1/4/2022,95
404,01:13:34 1/4/2022,95
405,01:20:14 1/4/2022,95
406,01:26:54 1/4/2022,95
407,01:33:33 1/4/2022,95
408,01:40:12 1/4/2022,95
409,01:46:50 1/4/2022,95
410,01:53:29 1/4/2022,95
411,02:00:09 1/4/2022,95
412,02:06:49 1/4/2022,95
413,02:13:29 1/4/2022,95
414,02:20:26 1/4/2022,95
415,02:27:11 1/4/2022,95
416,02:34:01 1/4/2022,95
417,02:41:00 1/4/2022,95
418,02:47:51 1/4/2022,95
419,02:54:40 1/4/2022,95
420,03:01:19 1/4/2022,95
421,03:07:59 1/4/2022,95
422,03:14:37 1/4/2022,95
423,03:21:18 1/4/2022,95
424,03:28:14 1/4/2022,95
425,03:35:10 1/4/2022,95
426,03:42:10 1/4/2022,95
427,03:49:06 1/4/2022,95
428,03:56:01 1/4/2022,95
429,04:02:42 1/4/2022,95
430,04:09:26 1/4/2022,95
431,04:16:09 1/4/2022,95
432,04:23:01 1/4/2022,95
433,04:29:51 1/4/2022,95
434,04:36:38 1/4/2022,95
435,04:43:18 1/4/2022,95
436,04:49:57 1/4/2022,95
437,04:56:36 1/4/2022,95
438,05:03:15 1/4/2022,95
439,05:09:54 1/4/2022,95
440,05:16:33 1/4/2022,95
441,05:23:12 1/4/2022,95
442,05:29:50 1/4/2022,95
443,05:36:30 1/4/2022,95
444,05:43:09 1/4/2022,95
445,05:49:48 1/4/2022,95
446,05:56:31 1/4/2022,95
447,06:03:11 1/4/2022,95
448,06:09:57 1/4/2022,95
449,06:16:37 1/4/2022,95
450,06:23:20 1/4/2022,95
451,06:30:01 1/4/2022,95
452,06:36:39 1/4/2022,95
453,06:43:18 1/4/2022,95
454,06:49:58 1/4/2022,95
455,06:56:36 1/4/2022,95
456,07:03:16 1/4/2022,95
457,07:09:55 1/4/2022,95
458,07:16:36 1/4/2022,95
459,07:23:02 1/4/2022,95
460,07:29:29 1/4/2022,95
461,07:35:55 1/4/2022,95
462,07:42:22 1/4/2022,95
463,07:48:54 1/4/2022,95
464,07:55:20 1/4/2022,95
465,08:01:48 1/4/2022,95
466,08:08:27 1/4/2022,95
467,08:15:09 1/4/2022,95
468,08:21:34 1/4/2022,95
469,08:28:01 1/4/2022,95
470,08:34:33 1/4/2022,95
471,08:40:59 1/4/2022,95
472,08:47:25 1/4/2022,95
473,08:53:53 1/4/2022,95
474,09:00:26 1/4/2022,95
475,09:07:01 1/4/2022,95
476,09:13:28 1/4/2022,95
477,09:20:08 1/4/2022,95
478,09:26:48 1/4/2022,95
479,09:33:23 1/4/2022,95
480,09:39:58 1/4/2022,95
481,09:46:31 1/4/2022,95
482,09:53:10 1/4/2022,95
483,09:59:49 1/4/2022,95
484,10:06:28 1/4/2022,95
485,10:13:09 1/4/2022,95
486,10:19:48 1/4/2022,95
487,10:26:29 1/4/2022,89
488,10:33:14 1/4/2022,87
489,10:39:55 1/4/2022,84
490,10:46:35 1/4/2022,84
491,10:53:18 1/4/2022,83
492,10:59:58 1/4/2022,80
493,11:06:37 1/4/2022,77
