id,HoraFecha,h2
467,08:21:59 1/4/2022,66
468,08:28:26 1/4/2022,67
469,08:34:58 1/4/2022,69
470,08:41:24 1/4/2022,68
471,08:47:50 1/4/2022,68
472,08:54:18 1/4/2022,68
473,09:00:51 1/4/2022,70
474,09:07:26 1/4/2022,69
475,09:13:53 1/4/2022,67
476,09:20:32 1/4/2022,69
477,09:27:12 1/4/2022,69
478,09:33:48 1/4/2022,67
479,09:40:23 1/4/2022,68
480,09:46:56 1/4/2022,68
481,09:53:35 1/4/2022,70
482,10:00:14 1/4/2022,73
483,10:06:53 1/4/2022,69
484,10:13:34 1/4/2022,72
485,10:20:13 1/4/2022,72
486,10:26:54 1/4/2022,71
487,10:33:39 1/4/2022,72
488,10:40:20 1/4/2022,71
489,10:47:00 1/4/2022,71
490,10:53:43 1/4/2022,71
491,11:00:23 1/4/2022,71
492,11:07:02 1/4/2022,70
493,11:13:43 1/4/2022,71
494,11:20:26 1/4/2022,71
495,11:27:09 1/4/2022,72
496,11:33:48 1/4/2022,71
497,11:40:28 1/4/2022,71
498,11:44:07 1/4/2022,73
499,11:52:35 1/4/2022,72
500,11:59:18 1/4/2022,71
501,01:34:45 7/2/2106,74
502,13:12:11 1/4/2022,72
503,13:18:57 1/4/2022,72
504,13:25:40 1/4/2022,71
505,13:32:19 1/4/2022,71
506,13:39:02 1/4/2022,74
507,13:45:42 1/4/2022,72
508,13:49:29 1/4/2022,71
509,13:57:49 1/4/2022,73
510,14:04:29 1/4/2022,74
511,14:12:17 1/4/2022,74
512,14:18:56 1/4/2022,73
513,14:25:39 1/4/2022,73
514,14:32:19 1/4/2022,72
515,14:39:02 1/4/2022,73
516,14:45:44 1/4/2022,72
517,14:52:26 1/4/2022,74
518,14:59:06 1/4/2022,73
519,15:05:47 1/4/2022,72
520,15:12:27 1/4/2022,74
521,15:19:09 1/4/2022,73
522,15:25:53 1/4/2022,72
523,15:33:43 1/4/2022,74
524,15:40:29 1/4/2022,73
525,15:47:19 1/4/2022,72
526,15:54:02 1/4/2022,72
527,16:00:58 1/4/2022,73
528,16:07:45 1/4/2022,73
529,16:14:30 1/4/2022,74
530,16:21:13 1/4/2022,73
531,16:27:59 1/4/2022,73
532,16:31:51 1/4/2022,72
533,16:41:13 1/4/2022,73
534,16:45:22 1/4/2022,72
535,16:54:13 1/4/2022,73
536,17:01:18 1/4/2022,74
537,17:08:05 1/4/2022,72
538,17:14:50 1/4/2022,73
539,17:21:42 1/4/2022,73
540,17:28:24 1/4/2022,72
541,17:35:15 1/4/2022,73
542,17:42:06 1/4/2022,73
543,17:48:53 1/4/2022,74
544,17:55:35 1/4/2022,74
545,18:02:18 1/4/2022,74
546,18:09:02 1/4/2022,75
547,18:15:51 1/4/2022,75
548,18:22:35 1/4/2022,74
549,18:29:22 1/4/2022,74
550,18:37:33 1/4/2022,74
551,18:45:15 1/4/2022,74
552,18:52:17 1/4/2022,74
553,18:59:16 1/4/2022,73
554,19:06:09 1/4/2022,73
555,19:13:08 1/4/2022,72
556,19:19:54 1/4/2022,73
557,19:26:40 1/4/2022,75
558,19:33:43 1/4/2022,74
559,19:40:42 1/4/2022,73
560,19:47:49 1/4/2022,73
561,19:54:42 1/4/2022,73
562,20:01:42 1/4/2022,74
563,20:08:50 1/4/2022,73
564,20:16:06 1/4/2022,74
565,20:23:16 1/4/2022,74
566,20:30:30 1/4/2022,73
567,20:37:39 1/4/2022,73
568,20:45:20 1/4/2022,74
569,20:52:47 1/4/2022,72
570,21:00:17 1/4/2022,73
571,21:07:18 1/4/2022,72
572,21:14:19 1/4/2022,73
573,21:19:51 1/4/2022,72
574,21:28:46 1/4/2022,74
575,21:35:41 1/4/2022,74
576,21:42:26 1/4/2022,73
577,21:49:28 1/4/2022,73
578,21:56:11 1/4/2022,74
579,22:03:22 1/4/2022,74
580,22:10:25 1/4/2022,75
581,22:17:32 1/4/2022,76
582,22:25:04 1/4/2022,73
583,22:32:17 1/4/2022,73
584,22:39:15 1/4/2022,74
585,22:46:17 1/4/2022,73
586,22:53:16 1/4/2022,72
587,23:00:26 1/4/2022,73
588,23:07:29 1/4/2022,73
589,23:14:20 1/4/2022,73
590,23:21:32 1/4/2022,73
591,23:28:35 1/4/2022,73
592,23:35:56 1/4/2022,71
593,23:43:11 1/4/2022,72
594,23:50:12 1/4/2022,73
595,23:57:43 1/4/2022,73
596,00:04:49 2/4/2022,73
597,00:12:11 2/4/2022,74
598,00:19:14 2/4/2022,72
599,00:26:32 2/4/2022,73
600,00:34:12 2/4/2022,75
601,00:41:14 2/4/2022,73
602,00:48:31 2/4/2022,72
603,00:56:01 2/4/2022,72
604,01:03:13 2/4/2022,73
605,01:10:38 2/4/2022,73
