id,HoraFecha,h2
381,22:47:22 31/3/2022,31
382,22:54:01 31/3/2022,31
383,23:00:40 31/3/2022,31
384,23:07:20 31/3/2022,33
385,23:13:59 31/3/2022,33
386,23:20:40 31/3/2022,31
387,23:27:20 31/3/2022,33
388,23:34:04 31/3/2022,32
389,23:40:45 31/3/2022,32
390,23:47:25 31/3/2022,31
391,23:54:04 31/3/2022,31
392,00:00:43 1/4/2022,31
393,00:07:30 1/4/2022,32
394,00:14:21 1/4/2022,32
395,00:21:09 1/4/2022,31
396,00:27:48 1/4/2022,31
397,00:34:27 1/4/2022,32
398,00:41:07 1/4/2022,33
399,00:47:47 1/4/2022,31
400,00:54:26 1/4/2022,33
401,01:01:06 1/4/2022,32
402,01:07:45 1/4/2022,32
403,01:14:23 1/4/2022,31
404,01:21:05 1/4/2022,33
405,01:27:43 1/4/2022,32
406,01:34:22 1/4/2022,32
407,01:41:01 1/4/2022,33
408,01:47:40 1/4/2022,32
409,01:54:19 1/4/2022,33
410,02:00:59 1/4/2022,32
411,02:07:39 1/4/2022,32
412,02:14:18 1/4/2022,33
413,02:21:19 1/4/2022,32
414,02:28:05 1/4/2022,34
415,02:34:51 1/4/2022,34
416,02:41:53 1/4/2022,32
417,02:48:41 1/4/2022,34
418,02:55:29 1/4/2022,31
419,03:02:09 1/4/2022,34
420,03:08:48 1/4/2022,33
421,03:15:27 1/4/2022,32
422,03:22:11 1/4/2022,33
423,03:29:04 1/4/2022,34
424,03:36:00 1/4/2022,32
425,03:43:10 1/4/2022,34
426,03:49:59 1/4/2022,33
427,03:56:51 1/4/2022,34
428,04:03:35 1/4/2022,34
429,04:10:17 1/4/2022,36
430,04:16:59 1/4/2022,35
431,04:23:52 1/4/2022,36
432,04:30:41 1/4/2022,36
433,04:37:28 1/4/2022,36
434,04:44:08 1/4/2022,35
435,04:50:47 1/4/2022,34
436,04:57:26 1/4/2022,35
437,05:04:05 1/4/2022,33
438,05:10:44 1/4/2022,36
439,05:17:23 1/4/2022,33
440,05:24:02 1/4/2022,35
441,05:30:40 1/4/2022,35
442,05:37:20 1/4/2022,35
443,05:43:59 1/4/2022,33
444,05:50:39 1/4/2022,34
445,05:57:21 1/4/2022,35
446,06:04:01 1/4/2022,34
447,06:10:47 1/4/2022,44
448,06:17:27 1/4/2022,60
449,06:24:11 1/4/2022,74
450,06:30:50 1/4/2022,83
451,06:37:29 1/4/2022,89
452,06:44:08 1/4/2022,91
453,06:50:47 1/4/2022,93
454,06:57:27 1/4/2022,94
455,07:04:06 1/4/2022,94
456,07:10:46 1/4/2022,95
457,07:17:26 1/4/2022,96
458,07:23:52 1/4/2022,96
459,07:30:19 1/4/2022,97
460,07:36:45 1/4/2022,97
461,07:43:12 1/4/2022,97
462,07:49:44 1/4/2022,97
463,07:56:11 1/4/2022,97
464,08:02:38 1/4/2022,97
465,08:09:17 1/4/2022,97
466,08:15:58 1/4/2022,98
467,08:22:24 1/4/2022,98
468,08:28:51 1/4/2022,98
469,08:35:23 1/4/2022,98
470,08:41:49 1/4/2022,98
471,08:48:16 1/4/2022,98
472,08:54:42 1/4/2022,98
473,09:01:16 1/4/2022,98
474,09:07:52 1/4/2022,98
475,09:14:18 1/4/2022,98
476,09:20:57 1/4/2022,98
477,09:27:39 1/4/2022,98
478,09:34:13 1/4/2022,98
479,09:40:48 1/4/2022,98
480,09:47:21 1/4/2022,98
481,09:54:00 1/4/2022,98
482,10:00:39 1/4/2022,98
483,10:07:18 1/4/2022,98
484,10:13:59 1/4/2022,98
485,10:20:38 1/4/2022,98
486,10:27:19 1/4/2022,99
487,10:34:04 1/4/2022,98
488,10:40:45 1/4/2022,98
489,10:47:26 1/4/2022,98
490,10:54:08 1/4/2022,98
491,11:00:48 1/4/2022,98
492,11:07:27 1/4/2022,99
493,11:14:09 1/4/2022,98
494,11:20:51 1/4/2022,98
495,11:27:34 1/4/2022,98
496,11:34:13 1/4/2022,98
497,11:40:53 1/4/2022,99
498,11:44:32 1/4/2022,98
499,11:53:00 1/4/2022,98
500,11:59:43 1/4/2022,98
501,01:35:10 7/2/2106,98
502,13:12:36 1/4/2022,98
503,13:19:22 1/4/2022,98
504,13:26:05 1/4/2022,98
505,13:32:44 1/4/2022,98
506,13:39:27 1/4/2022,98
507,13:46:07 1/4/2022,98
508,13:49:54 1/4/2022,98
509,13:58:13 1/4/2022,98
510,14:04:54 1/4/2022,98
511,14:12:41 1/4/2022,98
512,14:19:21 1/4/2022,98
513,14:26:03 1/4/2022,98
514,14:32:44 1/4/2022,98
515,14:39:27 1/4/2022,98
516,14:46:09 1/4/2022,98
517,14:52:52 1/4/2022,98
518,14:59:32 1/4/2022,98
519,15:06:11 1/4/2022,98
520,15:12:52 1/4/2022,98
521,15:19:34 1/4/2022,98
522,15:26:18 1/4/2022,98
523,15:34:08 1/4/2022,97
524,15:40:54 1/4/2022,97
525,15:47:45 1/4/2022,97
526,15:54:27 1/4/2022,97
527,16:01:23 1/4/2022,97
528,16:08:10 1/4/2022,97
529,16:14:55 1/4/2022,97
530,16:21:38 1/4/2022,97
531,16:28:26 1/4/2022,97
532,16:32:16 1/4/2022,97
533,16:41:39 1/4/2022,97
534,16:45:48 1/4/2022,97
535,16:54:39 1/4/2022,97
536,17:01:44 1/4/2022,97
537,17:08:31 1/4/2022,97
538,17:15:16 1/4/2022,97
539,17:22:07 1/4/2022,96
540,17:28:52 1/4/2022,96
541,17:35:42 1/4/2022,96
542,17:42:31 1/4/2022,95
543,17:49:18 1/4/2022,94
544,17:56:00 1/4/2022,92
545,18:02:43 1/4/2022,91
546,18:09:27 1/4/2022,88
547,18:16:16 1/4/2022,79
548,18:23:00 1/4/2022,64
549,18:29:48 1/4/2022,59
550,18:37:59 1/4/2022,47
551,18:45:41 1/4/2022,38
552,18:52:43 1/4/2022,36
553,18:59:41 1/4/2022,35
554,19:06:35 1/4/2022,36
555,19:13:33 1/4/2022,34
556,19:20:20 1/4/2022,35
557,19:27:04 1/4/2022,35
558,19:34:09 1/4/2022,34
559,19:41:11 1/4/2022,34
560,19:48:14 1/4/2022,36
561,19:55:10 1/4/2022,34
562,20:02:07 1/4/2022,36
563,20:09:16 1/4/2022,35
564,20:16:34 1/4/2022,36
565,20:23:46 1/4/2022,34
566,20:31:01 1/4/2022,36
567,20:38:07 1/4/2022,34
568,20:45:52 1/4/2022,36
569,20:53:13 1/4/2022,35
570,21:00:43 1/4/2022,35
571,21:07:44 1/4/2022,34
572,21:14:49 1/4/2022,35
573,21:20:17 1/4/2022,34
574,21:29:12 1/4/2022,35
575,21:36:06 1/4/2022,34
576,21:42:51 1/4/2022,35
577,21:49:53 1/4/2022,33
578,21:56:37 1/4/2022,35
579,22:03:49 1/4/2022,35
580,22:10:53 1/4/2022,35
581,22:17:57 1/4/2022,35
582,22:25:32 1/4/2022,33
583,22:32:43 1/4/2022,34
584,22:39:41 1/4/2022,35
585,22:46:43 1/4/2022,33
586,22:53:41 1/4/2022,33
587,23:00:54 1/4/2022,35
588,23:07:54 1/4/2022,33
589,23:14:45 1/4/2022,35
590,23:21:57 1/4/2022,34
591,23:29:00 1/4/2022,33
592,23:36:22 1/4/2022,33
593,23:43:36 1/4/2022,35
594,23:50:37 1/4/2022,33
595,23:58:12 1/4/2022,33
596,00:05:17 2/4/2022,33
597,00:12:37 2/4/2022,33
598,00:19:40 2/4/2022,36
599,00:27:01 2/4/2022,36
600,00:34:40 2/4/2022,36
601,00:41:40 2/4/2022,36
602,00:49:00 2/4/2022,36
603,00:56:28 2/4/2022,36
604,01:03:40 2/4/2022,34
605,01:11:04 2/4/2022,33
606,01:18:28 2/4/2022,35
607,01:25:52 2/4/2022,34
608,01:32:59 2/4/2022,34
